EAN,QUANTIDADE
9000003264943,2
9000004902066,11
9000004906361,17
9000004906378,11
9000004906385,17
9000004906408,1
9000004927762,1
9000004935071,1
9000004954812,1
9000004955109,6
9000004955116,15
9000004955123,14
9000004955215,17
9000004955284,26
9000004955291,35
9000004955307,43
9000004956489,6
9000004959381,1
9000004961919,11
9000004961926,26
9000004961933,16
9000004961940,12
9000004962107,12
9000004962268,2
9000004963388,17
9000004963401,3
9000004963722,2
9000004963739,9
9000004963883,3
9000004964149,18
9000004964156,24
9000004964163,13
9000004964477,15
9000004964484,31
9000004965320,3
9000004966020,2
9000004966136,3
9000004966396,1
9000004968444,1
9000004970324,29
9000004970331,16
9000004970348,8
9000004970522,9
9000004970539,17
9000004970546,14
9000004970621,21
9000004970638,19
9000004970645,19
9000004970720,14
9000004970737,16
9000004970744,6
9000004970966,43
9000004970973,28
9000004970980,31
9000004970997,32
9000004971154,7
9000004971161,31
9000004971178,28
9000004971185,25
9000004971192,4
9000004971208,2
9000004971222,20
9000004971239,6
9000004971246,7
9000004971345,18
9000004971352,18
9000004971369,16
9000004971406,23
9000004971413,25
9000004971420,26
9000004971512,13
9000004971536,2
9000004971659,2
9000004971703,8
9000004971710,15
9000004971765,6
9000004971772,17
9000004971871,27
9000004971888,13
9000004971895,16
9000004971994,12
9000004972007,8
9000004972014,15
9000004972052,20
9000004972069,16
9000004972076,24
9000004972113,31
9000004972120,8
9000004972137,15
9000004972168,1
9000004972175,32
9000004972182,16
9000004972199,16
9000004972236,22
9000004972243,25
9000004972250,19
9000004972298,27
9000004972304,9
9000004972311,7
9000004972380,34
9000004972397,11
9000004972403,16
9000004972410,16
9000004972465,21
9000004972472,5
9000004972489,8
9000004972496,14
9000004972595,14
9000004972601,17
9000004972618,13
9000004972762,20
9000004972779,24
9000004972786,16
9000004972922,26
9000004972939,29
9000004972946,30
9000004973172,22
9000004973189,18
9000004973196,21
9000004973363,1
9000004973370,33
9000004973387,12
9000004973394,18
9000004973561,3
9000004973578,29
9000004973585,13
9000004973592,16
9000004973608,1
9000004973622,14
9000004977033,5
9000004978092,3
9000004978177,27
9000004978184,23
9000004978191,14
9000004978269,22
9000004978757,1
9000004978795,4
9000004978801,5
9000004980446,4
9000004980583,1
9000004983492,13
9000004983508,13
9000004983560,1
9000004983577,10
9000004983584,22
9000004983836,5
9000004985052,6
9000004985076,2
9000004985588,4
9000004985595,4
9000004985601,3
9000004985960,8
9000004986509,4
9000004986516,4
9000004989005,3
9000004989098,8
9000004990230,4
9000004990353,11
9000004990360,2
9000004990711,3
9000004990728,2
9000004990735,10
9000004990896,16
9000004990902,16
9000004990919,6
9000004991091,6
9000004991107,1
9000004991190,4
9000004991206,2
9000004991626,2
9000004991640,3
9000004991657,1
9000004991800,6
9000004992012,4
9000004993613,3
9000004994597,5
9000004997512,1
9000004997604,3
9000004997697,5
9000005000600,2
9000005003076,1
9000005003199,1
9000005003205,8
9000005003212,1
9000005004547,21
9000005004561,6
9000005004578,7
9000005004844,17
9000005004851,7
9000005004868,16
9000005009320,7
9000005009351,2
9000005009382,2
9000005009412,1
9000005010807,7
9000005012436,2
9000005013976,11
9000005014096,1
9000005015758,13
9000005015765,11
9000005015789,4
9000005016663,1
9000005016687,7
9000005016694,15
9000005017219,7
9000005017240,8
9000005017264,2
9000005017271,8
9000005017295,2
9000005017301,6
9000005017363,5
9000005018193,6
9000005018261,8
9000005018278,25
9000005018285,1
9000005018803,7
9000005018810,8
9000005019909,1
9000005019992,1
9000005020172,5
9000005020226,1
9000005020233,8
9000005020240,2
9000005021612,6
9000005021643,1
9000005021933,2
9000005022596,5
9000005022602,7
9000005022619,11
9000005022633,1
9000005022732,1
9000005022787,6
9000005022794,5
9000005022817,4
9000005022824,2
9000005022848,7
9000005022855,2
9000005023791,1
9000005023821,2
9000005024255,3
9000005024316,11
9000005025191,2
9000005025207,8
9000005025221,5
9000005025658,1
9000005025740,23
9000005025757,14
9000005025764,9
9000005025931,7
9000005026136,3
9000005026150,3
9000005026679,5
9000005026716,4
9000005027232,2
9000005027256,2
9000005027553,13
9000005027560,1
9000005029359,2
9000005029366,3
9000005029830,1
9000005030003,14
9000005030010,8
9000005030027,1
9000005031758,1
9000005035404,3
9000005035466,6
9000005035480,1
9000005035664,2
9000005035961,6
9000005037682,1
9000005038207,1
9000005039853,3
9000005039877,2
9000005039891,2
9000005039907,1
9000005040040,8
9000005040149,1
9000005040347,5
9000005040378,3
9000005040385,10
9000005042389,11
9000005042396,9
9000005042402,5
9000005043683,2
9000005043966,2
9000005044109,8
9000005044130,1
9000005044642,4
9000005044659,1
9000005044666,1
9000005045120,1
9000005045137,2
9000005045144,5
9000005045151,2
9000005045212,1
9000005045229,1
9000005046349,20
9000005046356,20
9000005046363,2
9000005046370,14
9000005046455,9
9000005046554,5
9000005046622,3
9000005046639,7
9000005046707,1
9000005046714,17
9000005046721,3
9000005046738,1
9000005047308,28
9000005047315,8
9000005047322,6
9000005047339,13
9000005047490,5
9000005047544,11
9000005047551,2
9000005047568,13
9000005047575,17
9000005047629,25
9000005047643,10
9000005047704,36
9000005047711,9
9000005047728,10
9000005047735,23
9000005047780,12
9000005047797,30
9000005047803,10
9000005047810,24
9000005047896,23
9000005047940,21
9000005047964,4
9000005047971,15
9000005048022,16
9000005048046,3
9000005048183,1
9000005048190,25
9000005048206,3
9000005048275,1
9000005048282,33
9000005048299,17
9000005048305,15
9000005048381,37
9000005048398,21
9000005048404,20
9000005048572,13
9000005048589,57
9000005048596,32
9000005048602,34
9000005048619,12
9000005048671,4
9000005048688,36
9000005048695,16
9000005048701,19
9000005048718,3
9000005048879,4
9000005048886,42
9000005048893,19
9000005048909,20
9000005048961,9
9000005048985,4
9000005048992,6
9000005049326,19
9000005049333,21
9000005049340,19
9000005050193,21
9000005050209,7
9000005050216,10
9000005050223,15
9000005050889,5
9000005050896,2
9000005050902,8
9000005050919,20
9000005051121,31
9000005051138,15
9000005051145,16
9000005051381,1
9000005051633,29
9000005051640,17
9000005051657,14
9000005051718,15
9000005051725,63
9000005051732,32
9000005051749,22
9000005051916,20
9000005051923,35
9000005051930,15
9000005051961,29
9000005051978,21
9000005051985,18
9000005052012,4
9000005052029,35
9000005052036,21
9000005052043,13
9000005052081,31
9000005052098,24
9000005052104,14
9000005052111,23
9000005052135,47
9000005052142,66
9000005052159,27
9000005052166,24
9000005052173,1
9000005052180,10
9000005052197,3
9000005052203,12
9000005052210,18
9000005052609,1
9000005052616,16
9000005052623,4
9000005052630,9
9000005052852,8
9000005052906,12
9000005052913,36
9000005052975,6
9000005052982,55
9000005053002,10
9000005053019,1
9000005053163,5
9000005053224,22
9000005053231,3
9000005053293,1
9000005053316,9
9000005053323,3
9000005053378,8
9000005053477,54
9000005053538,5
9000005053606,12
9000005053668,6
9000005053675,9
9000005053682,3
9000005053699,3
9000005053736,21
9000005053743,7
9000005053750,14
9000005053767,21
9000005053859,7
9000005053866,42
9000005053873,27
9000005053880,27
9000005053927,1
9000005053934,28
9000005053941,4
9000005053958,9
9000005054009,15
9000005054016,7
9000005054023,10
9000005054085,10
9000005054092,3
9000005054290,18
9000005054375,18
9000005054580,39
9000005054597,29
9000005054788,2
9000005054849,57
9000005054856,3
9000005054870,20
9000005055365,3
9000005055372,1
9000005055525,17
9000005056089,23
9000005056119,17
9000005056126,3
9000005056638,13
9000005056652,4
9000005056669,20
9000005056867,12
9000005056874,44
9000005056881,25
9000005056898,20
9000005057352,8
9000005057369,10
9000005057376,4
9000005057383,15
9000005057536,18
9000005057543,8
9000005057550,20
9000005057598,26
9000005057611,7
9000005057871,12
9000005058045,10
9000005058052,15
9000005058106,24
9000005058182,6
9000005058199,4
9000005058205,4
9000005058212,6
9000005058281,2
9000005058526,4
9000005058533,19
9000005058540,3
9000005058953,8
9000005058977,5
9000005059301,2
9000005059660,6
9000005059677,5
9000005059684,6
9000005059691,4
9000005059998,20
9000005060178,29
9000005060185,5
9000005060345,4
9000005060352,6
9000005060369,9
9000005060710,5
9000005060727,32
9000005060734,22
9000005060741,26
9000005060758,4
9000005060765,8
9000005060789,18
9000005060796,5
9000005060802,8
9000005060819,4
9000005060857,13
9000005060864,32
9000005060871,10
9000005060888,27
9000005060895,10
9000005060949,4
9000005060956,2
9000005061328,18
9000005061335,49
9000005061342,14
9000005061359,9
9000005061427,4
9000005061434,26
9000005061441,36
9000005061502,23
9000005061519,48
9000005061526,2
9000005061601,19
9000005061885,1
9000005061892,34
9000005061908,22
9000005061915,9
9000005061922,3
9000005062486,11
9000005062493,1
9000005062509,5
9000005063001,1
9000005063025,31
9000005063032,6
9000005063049,6
9000005063124,15
9000005063131,9
9000005063148,3
9000005063445,7
9000005063537,7
9000005063612,14
9000005064107,4
9000005064121,1
9000005064367,6
9000005064596,25
9000005064602,26
9000005064619,10
9000005064886,2
9000005065234,20
9000005065241,7
9000005065258,8
9000005065265,13
9000005065371,28
9000005065388,10
9000005065395,12
9000005065401,20
9000005065524,11
9000005065555,19
9000005065593,31
9000005065616,7
9000005065623,5
9000005065661,35
9000005065678,11
9000005065685,13
9000005065692,1
9000005065722,33
9000005065739,5
9000005065746,2
9000005065753,9
9000005065791,1
9000005065913,4
9000005066255,6
9000005066262,3
9000005066446,72
9000005066453,53
9000005066460,57
9000005066477,59
9000005066651,5
9000005066668,28
9000005066675,14
9000005066682,14
9000005066828,5
9000005066835,26
9000005066842,4
9000005066859,4
9000005066903,26
9000005066910,36
9000005066927,18
9000005066934,6
9000005067139,20
9000005067337,12
9000005067344,3
9000005067351,8
9000005067412,31
9000005067429,6
9000005067436,14
9000005067443,15
9000005067498,5
9000005067603,3
9000005067733,19
9000005067757,4
9000005067764,1
9000005068204,41
9000005068211,19
9000005068228,20
9000005068235,35
9000005068280,32
9000005068297,1
9000005068310,6
9000005068495,20
9000005068501,7
9000005068518,6
9000005068525,17
9000005068563,19
9000005068594,8
9000005068693,16
9000005068709,12
9000005068716,6
9000005068723,11
9000005068761,25
9000005068778,1
9000005068822,32
9000005068839,23
9000005068846,19
9000005068877,6
9000005068884,29
9000005068891,27
9000005068907,28
9000005068914,6
9000005068921,7
9000005068945,30
9000005068952,11
9000005068969,20
9000005069003,31
9000005069010,10
9000005069027,2
9000005069188,1
9000005069195,9
9000005069201,10
9000005069218,10
9000005069355,4
9000005069379,1
9000005069478,1
9000005069973,45
9000005069980,13
9000005069997,7
9000005070009,21
9000005070016,2
9000005070061,1
9000005070320,6
9000005070337,34
9000005070344,14
9000005070351,11
9000005070368,9
9000005070399,37
9000005070412,8
9000005070429,23
9000005070511,1
9000005070962,30
9000005070979,8
9000005070986,3
9000005070993,10
9000005071624,19
9000005071631,2
9000005071648,5
9000005071655,6
9000005071686,15
9000005071747,13
9000005072775,1
9000005072867,4
9000005072874,8
9000005072881,1
9000005073451,6
9000005073543,40
9000005073550,19
9000005073567,22
9000005073574,38
9000005073581,4
9000005073772,5
9000005073789,47
9000005073796,11
9000005073802,12
9000005073819,22
9000005073970,32
9000005073987,9
9000005073994,7
9000005074007,9
9000005074038,16
9000005074045,2
9000005074052,11
9000005074069,11
9000005074304,4
9000005074366,6
9000005074663,3
9000005074670,41
9000005074687,21
9000005074694,18
9000005074700,20
9000005074731,35
9000005074748,19
9000005074755,14
9000005074762,13
9000005074793,21
9000005074809,19
9000005074816,15
9000005074823,30
9000005075691,13
9000005075707,4
9000005075714,12
9000005075721,21
9000005075967,21
9000005075981,4
9000005075998,9
9000005076247,21
9000005076254,5
9000005076261,8
9000005076278,15
9000005076988,24
9000005076995,5
9000005077084,27
9000005077091,11
9000005077107,5
9000005077336,45
9000005077343,26
9000005077350,31
9000005077367,37
9000005077374,8
9000005077404,25
9000005077442,1
9000005077572,42
9000005077589,18
9000005077596,23
9000005077602,18
9000005077640,31
9000005077657,8
9000005077664,14
9000005077671,25
9000005077688,2
9000005077961,2
9000005077992,4
9000005078029,34
9000005078036,5
9000005078043,7
9000005078050,19
9000005078166,5
9000005078210,3
9000005078227,1
9000005078579,22
9000005078586,7
9000005078593,4
9000005078630,19
9000005078647,3
9000005078654,3
9000005078661,6
9000005078692,19
9000005078708,3
9000005078791,3
9000005078937,2
9000005079224,16
9000005079507,26
9000005079514,8
9000005079606,26
9000005079613,9
9000005079620,2
9000005079873,31
9000005079880,7
9000005079897,12
9000005079903,27
9000005080138,4
9000005080169,7
9000005080190,4
9000005080923,16
9000005080947,4
9000005080954,8
9000005080992,12
9000005081005,9
9000005081012,3
9000005081418,18
9000005081425,5
9000005081432,5
9000005081449,15
9000005081685,30
9000005081692,18
9000005081708,17
9000005081715,14
9000005081760,7
9000005081784,1
9000005081791,7
9000005081876,9
9000005081920,23
9000005081937,3
9000005081944,4
9000005081951,16
9000005082224,34
9000005082248,15
9000005082262,10
9000005082323,26
9000005082330,12
9000005082347,19
9000005082354,25
9000005082408,30
9000005082422,6
9000005082439,2
9000005082514,8
9000005083290,1
9000005083306,1
9000005083351,22
9000005083375,7
9000005083382,6
9000005083825,19
9000005083832,3
9000005083849,18
9000005083856,22
9000005084266,31
9000005084280,9
9000005084303,11
9000005084464,5
9000005084488,4
9000005084495,13
9000005084723,28
9000005084761,6
9000005084785,14
9000005084976,7
9000005085096,9
9000005085157,10
9000005085218,13
9000005085539,23
9000005085546,8
9000005085638,2
9000005085881,15
9000005085911,3
9000005086116,5
9000005086291,2
9000005086307,4
9000005086314,6
9000005086321,17
9000005086376,3
9000005086390,3
9000005086406,2
9000005086451,18
9000005086468,9
9000005086475,10
9000005086482,25
9000005086703,6
9000005086710,3
9000005086727,9
9000005086802,16
9000005086819,15
9000005086826,11
9000005086956,1
9000005086963,26
9000005086970,3
9000005087304,7
9000005087427,23
9000005087434,5
9000005087472,22
9000005087489,9
9000005087496,1
9000005087564,11
9000005087724,1
9000005087908,24
9000005087915,7
9000005087922,11
9000005088394,3
9000005088523,7
9000005088547,11
9000005088554,32
9000005088561,12
9000005089391,9
9000005089421,2
9000005089513,21
9000005089520,17
9000005089537,5
9000005089544,6
9000005089599,1
9000005089605,15
9000005089629,2
9000005090144,27
9000005090151,17
9000005090168,14
9000005090199,31
9000005090212,10
9000005090229,27
9000005090236,1
9000005090335,8
9000005090342,39
9000005090359,3
9000005090366,16
9000005090373,23
9000005090670,30
9000005090687,12
9000005090694,5
9000005090946,18
9000005090953,10
9000005090960,15
9000005090977,19
9000005091042,1
9000005091059,2
9000005091165,20
9000005091172,9
9000005091189,23
9000005091196,18
9000005091202,1
9000005091219,3
9000005091264,5
9000005091295,5
9000005091349,5
9000005091356,6
9000005091363,2
9000005091400,7
9000005091479,4
9000005091738,1
9000005091899,14
9000005091905,40
9000005091912,32
9000005091929,13
9000005091936,4
9000005091943,1
9000005092063,4
9000005092070,20
9000005092087,8
9000005092094,12
9000005092100,4
9000005092117,7
9000005092131,5
9000005092490,1
9000005092513,1
9000005092551,3
9000005092568,17
9000005092650,6
9000005092667,2
9000005092674,9
9000005092735,1
9000005093015,16
9000005093633,7
9000005093640,2
9000005094029,23
9000005094036,14
9000005094043,13
9000005094050,20
9000005094111,19
9000005094203,11
9000005094814,1
9000005095019,24
9000005095026,15
9000005095033,16
9000005095057,17
9000005095071,27
9000005095224,8
9000005095231,17
9000005095248,16
9000005095255,18
9000005095309,33
9000005095316,32
9000005095323,32
9000005095330,36
9000005095484,24
9000005095491,19
9000005095507,15
9000005095514,18
9000005095569,25
9000005095576,7
9000005095583,17
9000005095590,16
9000005095644,31
9000005095668,4
9000005095675,8
9000005095682,9
9000005095699,62
9000005095705,23
9000005095897,1
9000005095903,9
9000005096153,16
9000005096160,7
9000005096177,3
9000005096467,23
9000005096474,16
9000005096481,18
9000005096528,37
9000005096535,23
9000005096542,25
9000005096559,28
9000005096627,6
9000005096719,2
9000005096795,5
9000005096962,30
9000005096979,6
9000005096986,7
9000005097020,4
9000005097068,5
9000005097099,1
9000005097112,27
9000005097129,17
9000005097136,13
9000005097143,3
9000005097280,10
9000005097341,18
9000005097372,1
9000005097396,10
9000005097570,2
9000005097631,15
9000005097648,5
9000005097655,8
9000005097662,7
9000005097679,5
9000005097846,2
9000005097853,15
9000005097907,6
9000005097914,5
9000005097921,6
9000005097938,6
9000005097983,5
9000005097990,5
9000005098003,11
9000005098010,16
9000005098164,4
9000005098188,1
9000005098263,2
9000005098270,12
9000005098331,6
9000005098348,3
9000005098379,6
9000005098409,4
9000005098737,1
9000005098744,1
9000005098782,1
9000005098928,8
9000005098935,7
9000005098942,8
9000005099093,7
9000005099284,31
9000005099291,26
9000005099307,32
9000005099314,36
9000005099321,13
9000005099581,4
9000005099598,6
9000005099604,8
9000005099611,7
9000005099888,20
9000005099895,34
9000005099901,18
9000005099918,19
9000005100089,20
9000005100096,6
9000005100102,4
9000005100232,2
9000005100249,16
9000005100256,5
9000005100263,12
9000005102212,21
9000005102229,3
9000005102236,1
9000005102403,22
9000005102410,9
9000005102427,15
9000005103134,1
9000005103233,4
9000005103394,12
9000005103400,13
9000005103417,5
9000005103493,13
9000005103509,10
9000005103660,25
9000005103677,10
9000005103684,2
9000005103707,20
9000005103721,38
9000005103745,10
9000005103851,25
9000005103868,19
9000005103875,16
9000005103936,2
9000005103974,6
9000005103998,16
9000005104001,3
9000005104094,19
9000005104308,1
9000005104452,28
9000005104469,1
9000005104476,7
9000005104483,13
9000005104698,24
9000005104704,9
9000005104988,26
9000005104995,20
9000005105008,6
9000005105015,18
9000005105022,12
9000005105039,18
9000005105121,2
9000005105138,2
9000005105169,39
9000005105176,11
9000005105183,16
9000005105206,2
9000005105213,19
9000005105220,2
9000005105374,113
9000005105428,47
9000005105435,32
9000005105442,36
9000005105459,35
9000005105473,9
9000005105480,5
9000005105497,3
9000005105527,19
9000005105534,6
9000005105541,3
9000005105558,7
9000005105572,16
9000005105602,3
9000005105688,14
9000005105718,2
9000005105725,1
9000005105732,1
9000005105749,1
9000005105770,13
9000005105787,23
9000005105794,16
9000005105800,6
9000005105824,29
9000005105831,21
9000005105848,17
9000005106067,38
9000005106074,4
9000005106098,17
9000005106111,14
9000005106128,50
9000005106135,28
9000005106517,25
9000005106531,7
9000005106555,9
9000005106579,13
9000005106722,1
9000005106883,4
9000005107071,6
9000005107200,18
9000005107224,4
9000005107231,10
9000005107682,16
9000005107699,12
9000005107705,6
9000005107712,4
9000005107743,11
9000005107750,9
9000005107767,30
9000005107774,32
9000005107781,17
9000005107798,15
9000005107804,7
9000005107972,15
9000005107989,22
9000005107996,47
9000005108009,46
9000005108016,11
9000005108047,17
9000005108085,2
9000005108092,7
9000005108108,17
9000005108238,4
9000005108245,1
9000005108436,22
9000005108450,29
9000005108474,19
9000005108634,5
9000005108719,6
9000005108733,9
9000005108740,5
9000005109242,1
9000005109259,26
9000005109266,10
9000005109273,3
9000005109815,15
9000005109822,3
9000005109839,3
9000005109891,13
9000005109938,5
9000005109952,17
9000005109969,7
9000005109990,9
9000005110002,12
9000005110101,7
9000005110132,21
9000005110385,17
9000005110408,2
9000005110415,9
9000005110460,3
9000005110477,7
9000005110491,12
9000005110569,1
9000005110583,13
9000005110590,3
9000005110613,3
9000005110835,18
9000005110897,5
9000005111115,7
9000005111122,1
9000005111269,11
9000005111276,9
9000005111290,2
9000005111313,6
9000005111382,11
9000005111559,14
9000005111566,35
9000005111573,21
9000005111580,19
9000005111597,24
9000005111603,22
9000005111962,1
9000005112846,12
9000005112853,10
9000005112860,37
9000005112884,13
9000005112945,1
9000005112952,4
9000005112969,13
9000005112976,8
9000005112983,4
9000005113201,2
9000005113249,22
9000005113256,5
9000005113263,4
9000005113324,4
9000005113331,17
9000005113348,19
9000005113355,19
9000005113362,2
9000005113478,1
9000005113492,30
9000005113508,15
9000005113515,15
9000005113850,1
9000005113867,10
9000005113874,3
9000005113911,2
9000005114000,1
9000005114093,1
9000005114154,1
9000005115250,1
9000005115311,1
9000005115533,2
9000005115885,6
9000005116608,4
9000005116721,1
9000005117209,9
9000005117469,1
9000005117568,4
9000005117599,4
9000005117643,22
9000005117681,7
9000005117698,4
9000005117964,23
9000005117971,21
9000005117995,8
9000005118015,8
9000005118039,15
9000005118114,1
9000005118152,8
9000005118169,5
9000005118176,2
9000005118183,9
9000005118213,4
9000005118343,1
9000005118701,5
9000005118930,3
9000005119296,12
9000005119319,3
9000005119326,1
9000005119913,12
9000005119920,12
9000005119937,11
9000005120315,16
9000005120322,7
9000005120339,6
9000005120667,4
9000005120674,37
9000005120681,28
9000005120698,27
9000005120704,5
9000005120711,6
9000005120773,17
9000005120803,5
9000005120810,2
9000005120827,2
9000005120834,3
9000005120841,3
9000005120926,6
9000005120933,1
9000005120988,7
9000005121176,35
9000005121183,18
9000005121190,22
9000005121206,23
9000005121213,4
9000005121220,5
9000005121343,1
9000005121350,12
9000005121367,1
9000005121473,1
9000005121497,1
9000005121602,12
9000005121619,9
9000005121626,10
9000005121633,4
9000005121701,40
9000005121718,52
9000005121725,25
9000005121732,4
9000005121787,21
9000005121794,26
9000005121800,33
9000005121817,1
9000005121916,52
9000005121923,70
9000005121930,37
9000005121947,5
9000005122098,21
9000005122104,20
9000005122111,30
9000005122128,9
9000005122135,24
9000005122142,5
9000005122159,14
9000005122166,8
9000005122210,9
9000005122227,19
9000005122234,10
9000005122241,9
9000005122258,6
9000005122265,6
9000005122272,11
9000005122289,8
9000005122340,15
9000005122364,4
9000005122371,1
9000005122388,2
9000005122456,5
9000005122463,14
9000005122470,3
9000005122487,4
9000005122494,5
9000005122500,8
9000005122517,5
9000005122524,5
9000005122555,7
